Platform,Revenue
No Integration,1460.0
activecampaign,222.5
airtable,25.0
asana,705.0
close,47.5
discord,132.5
engagebay,58.33
freshsales,172.5
front,161.67
hubspot,425.0
insightly,46.67
intercom,7.5
klaviyo,180.0
make,8.33
monday,305.83
notion,61.67
nutshell,65.0
pipedrive,265.0
salesforce,20.0
salesmate,30.0
slack,372.5
teams,135.0
trello,80.0
zoho,102.5
