Platform,Revenue
No Integration,1460.0
activecampaign,375.0
airtable,25.0
asana,665.0
close,40.0
discord,220.0
engagebay,75.0
freshsales,180.0
front,50.0
hubspot,525.0
insightly,70.0
intercom,15.0
klaviyo,160.0
monday,530.0
pipedrive,225.0
salesforce,60.0
slack,345.0
teams,70.0
